stage,batch_idx,config_id,seed,label,use_cost,robust_loss,weight_decay,reward_shaping,kl_reduction,beta_0,beta_decay,beta_min,vae_latent_dim,vae_lr,vae_beta_kl,vae_batch_size,bootstrap_trajectories,bootstrap_updates,online_aux_updates,vae_replay_capacity,train_profit,train_roi,train_arr,train_sharpe,train_max_drawdown,train_violations,val_profit,val_roi,val_arr,val_sharpe,val_max_drawdown,val_violations,gap_roi,gap_arr,gap_sharpe,q_loss_mean,vae_loss_mean,vae_loss_last,vae_recon_last,vae_kl_last,cost_loss_last,novelty_mean,novelty_std,novelty_max,finite
UCB,3,ucb_043,42,Uncertainty-Aware UCB-VAE,True,True,0.0001,True,sum,0.3,0.93,0.01,16,0.0001,0.05,256,5,100,1,50000,22.66672000000085,2.266672000000085,0.37520279613230123,-0.2686060831917299,14.35367743811226,0,307.90625999999907,30.790625999999904,9.375747169420157,0.5680068909356044,22.434191009618548,0,-28.52395399999982,-9.000544373287855,-0.8366129741273343,0.615760321483591,0.17429635134236565,0.16775469481945038,0.16730281710624695,0.00903746485710144,0.003411973128095269,5.7799759569147335,3.701122826151735,18.069175720214844,True
UCB,3,ucb_043,43,Uncertainty-Aware UCB-VAE,True,True,0.0001,True,sum,0.3,0.93,0.01,16,0.0001,0.05,256,5,100,1,50000,372.97889999999825,37.297889999999825,5.439103453902816,0.4427512630028359,13.201072305912204,0,900.3729599999992,90.03729599999993,23.9067485711691,1.2586341386918887,19.898469437444223,0,-52.7394060000001,-18.467645117266283,-0.8158828756890528,1.6363646740524995,0.18264131402147227,0.1618390530347824,0.1613299399614334,0.010182205587625504,0.00909905880689621,5.8813423871331105,3.7088814673946384,17.321088790893555,True
UCB,3,ucb_043,44,Uncertainty-Aware UCB-VAE,True,True,0.0001,True,sum,0.3,0.93,0.01,16,0.0001,0.05,256,5,100,1,50000,1725.763739999998,172.57637399999982,18.239880967339882,0.7337197898092838,37.657835339685256,10,2194.0060800000015,219.40060800000018,47.36041313567148,1.337403399400666,38.35304342855221,10,-46.82423400000036,-29.120532168331597,-0.6036836095913822,10.971561887142835,0.2398631148297211,0.3846835792064667,0.38390445709228516,0.015582209452986717,0.005753768142312765,7.32215998741137,3.102948454133262,18.348356246948242,True
UCB,3,ucb_047,42,Uncertainty-Aware UCB-VAE,True,True,0.0001,True,sum,0.3,0.99,0.01,16,0.0001,0.05,256,5,100,1,50000,14.487260000000333,1.4487260000000333,0.24061419396435024,-0.26618209343689075,14.236382679514406,0,278.2263099999982,27.82263099999982,8.540735955648149,0.5261801438076348,22.476154158247237,0,-26.373904999999787,-8.300121761683798,-0.7923622372445256,0.5930530484813735,0.1740153076319859,0.1659238636493683,0.16547642648220062,0.008948879316449165,0.003402375616133213,5.748888299820271,3.7134828607812853,18.037704467773438,True
UCB,3,ucb_047,43,Uncertainty-Aware UCB-VAE,True,True,0.0001,True,sum,0.3,0.99,0.01,16,0.0001,0.05,256,5,100,1,50000,396.8199200000008,39.68199200000008,5.742830777213781,0.4570349851846742,13.430288490364264,0,794.3879799999993,79.43879799999993,21.555377081680227,1.1931104330960922,20.578409355408166,0,-39.756805999999855,-15.812546304466446,-0.736075447911418,1.6698297456027595,0.18288486548538865,0.16362135112285614,0.16310952603816986,0.010236503556370735,0.009151393547654152,5.862226814939505,3.7176069944398797,17.42572593688965,True
UCB,3,ucb_047,44,Uncertainty-Aware UCB-VAE,True,True,0.0001,True,sum,0.3,0.99,0.01,16,0.0001,0.05,256,5,100,1,50000,1758.619859999998,175.8619859999998,18.47683412236625,0.7423913836766912,37.65769708084992,10,2192.877600000001,219.2877600000001,47.34302860485218,1.3380878013187454,38.42742619084799,10,-43.4257740000003,-28.86619448248593,-0.5956964176420542,10.866229936080398,0.23864322160852366,0.3767803907394409,0.3760114908218384,0.015377802774310112,0.005960248410701752,7.307184243369379,3.1192677230811108,18.35611915588379,True
UCB,3,ucb_051,42,Uncertainty-Aware UCB-VAE,True,True,0.0001,True,sum,0.5,0.93,0.01,16,0.0001,0.05,256,5,100,1,50000,4.709210000001804,0.47092100000018033,0.07853043522241254,-0.2850298708380403,16.64344444143558,0,268.80818999999815,26.880818999999818,8.273071323700787,0.5070664933690806,22.23152238519727,0,-26.409897999999636,-8.194540888478375,-0.7920963642071209,0.6203143889572891,0.17400569484151643,0.16750101745128632,0.16705219447612762,0.008976340293884277,0.003428300842642784,5.741528755244826,3.7053113129503905,18.032329559326172,True
UCB,3,ucb_051,43,Uncertainty-Aware UCB-VAE,True,True,0.0001,True,sum,0.5,0.93,0.01,16,0.0001,0.05,256,5,100,1,50000,542.6198199999981,54.26198199999981,7.51162548598161,0.5793951103490766,16.330502530920104,0,782.4099299999993,78.24099299999993,21.283867639721834,1.1912934142203877,20.88536292288078,0,-23.97901100000012,-13.772242153740223,-0.6118983038713111,1.5955019246493638,0.18281130780433785,0.16334983706474304,0.16283869743347168,0.01022281777113676,0.009064574725925922,5.8630381169039,3.725979073568587,17.476734161376953,True
UCB,3,ucb_051,44,Uncertainty-Aware UCB-VAE,True,True,0.0001,True,sum,0.5,0.93,0.01,16,0.0001,0.05,256,5,100,1,50000,1735.1539299999977,173.51539299999976,18.307843257953273,0.7365055853651677,37.647280753142674,10,2193.456150000001,219.34561500000007,47.35194183076796,1.3370158714218507,38.35304342855221,10,-45.830222000000305,-29.04409857281469,-0.600510286056683,10.839283829858458,0.23853986324935122,0.3777254819869995,0.37695571780204773,0.015395550057291985,0.005992499180138111,7.312943468904357,3.0885938771597052,18.350040435791016,True
UCB,3,ucb_055,42,Uncertainty-Aware UCB-VAE,True,True,0.0001,True,sum,0.5,0.99,0.01,16,0.0001,0.05,256,5,100,1,50000,2.6962800000003426,0.2696280000000343,0.04500056052727519,-0.3236001692268427,13.933865651148182,0,240.10387999999853,24.010387999999853,7.449035553145333,0.4442352636726626,22.256089033877473,0,-23.74075999999982,-7.404034992618058,-0.7678354328995053,0.6019694195229224,0.17343834864682164,0.1649397760629654,0.1644994020462036,0.00880742073059082,0.003475250443443656,5.735284213502702,3.7095172752687273,18.003742218017578,True
