time,EW,MV,RP,MW,MS,MU
2019-05-09,1.8562981124141744,2.1103396526024323,1.918291362999702,2.1103396526024323,2.3271547659429968,2.4797410070019352
2019-05-10,1.8657159622977444,2.119326707906872,1.9275997101836368,2.119326707906872,2.3309665420654215,2.478247116062249
2019-05-13,1.8614274553914347,2.1247490965178963,1.9247014462551855,2.1247490965178963,2.325643162705967,2.452478573842329
2019-05-14,1.8833805923008204,2.145608046074777,1.9464422731829083,2.145608046074777,2.3469727755304106,2.4715567933770846
2019-05-15,1.9061552220239886,2.1652513568573384,1.9692170073829736,2.1652513568573384,2.365361127929066,2.4923029083101023
2019-05-16,1.9014252108805199,2.1608135288602544,1.9651207499314374,2.1608135288602544,2.3707104246828625,2.5078483539358927
2019-05-17,1.9060503840543639,2.165614346800401,1.9697081585196532,2.165614346800401,2.371790107082722,2.5050934709580877
2019-05-20,1.9373505503745274,2.1955847625364373,2.000869597881056,2.1955847625364373,2.4006143428773092,2.532671237064298
2019-05-21,1.9393319144909684,2.206352579728322,2.0039025105425816,2.206352579728322,2.4088810140308374,2.5367821050507744
2019-05-22,1.937616571034351,2.195143410499244,2.000962414241968,2.195143410499244,2.4007896110992926,2.5395176989558457
2019-05-23,1.9471642703754406,2.201917840244299,2.009848839870703,2.201917840244299,2.3993772660840964,2.525529898230897
2019-05-24,1.9264352681985049,2.1817888096095146,1.9887528750137378,2.1817888096095146,2.364901411716009,2.480763117278029
2019-05-27,1.9251800663530212,2.177312400572976,1.9871910654674707,2.177312400572976,2.3668317496632545,2.482132071656955
2019-05-28,1.9265919516865695,2.1650593467469004,1.9864658444451273,2.1650593467469004,2.351232318517204,2.4652210356259583
2019-05-29,1.9243763071857292,2.1613478060997413,1.984605675018786,2.1613478060997413,2.362340180286914,2.495381494648711
2019-05-30,1.9265651805969983,2.166164448567309,1.9869686177627088,2.166164448567309,2.3580282948190665,2.47534543539697
2019-05-31,1.9066896056555922,2.1501265984558873,1.9676266839610081,2.1501265984558873,2.348635237730743,2.473604204815703
2019-06-03,1.8799184483083804,2.1292041065253824,1.9418426236965651,2.1292041065253824,2.327873173422804,2.4519243264464388
2019-06-04,1.8910574589484315,2.132381826125491,1.9520404625488461,2.132381826125491,2.3315537465700267,2.455833011040713
2019-06-05,1.889351482444586,2.14124090339618,1.952110705056653,2.14124090339618,2.3321737736452337,2.4470561475854034
2019-06-06,1.8754996960182182,2.144265092549878,1.9403053927857414,2.144265092549878,2.311995123187429,2.3937426611810597
2019-06-07,1.8953125366075678,2.168578966474714,1.960869708548286,2.168578966474714,2.3325626226088407,2.4173073400922265
2019-06-10,1.9020506127559298,2.174854131317111,1.9679040636231662,2.174854131317111,2.3413937691344304,2.422389163177551
2019-06-11,1.9093940905048536,2.1789049661880138,1.9747457799633368,2.1789049661880138,2.343291792017918,2.4202182969063486
2019-06-12,1.906303012197541,2.1722481140872976,1.9709897268719636,2.1722481140872976,2.334245142273174,2.415002275949638
2019-06-13,1.8950451610924288,2.1574744181371153,1.9592298199294556,2.1574744181371153,2.3235499567391305,2.403842451465504
2019-06-14,1.9004209685469062,2.160253743138999,1.9645186933260048,2.160253743138999,2.330099769719607,2.4009887041308122
2019-06-17,1.8833409582361758,2.140969195191052,1.9468886347611067,2.140969195191052,2.306311598743687,2.365683212751947
2019-06-18,1.895729705224041,2.1480514715429955,1.9585548886177175,2.1480514715429955,2.322201250804623,2.3903597177059774
2019-06-19,1.9172321090122375,2.1757709194292847,1.981172969127443,2.1757709194292847,2.3607122140111705,2.449674003272565
2019-06-20,1.9456476356775614,2.1997065445248625,2.0089639959083123,2.1997065445248625,2.3725307912850133,2.4395844957203225
2019-06-21,1.9389043255398062,2.1898116234281844,2.0013456608995868,2.1898116234281844,2.3594303841377586,2.427161059149378
2019-06-24,1.9456755532842904,2.2021299271647043,2.0098434162123495,2.2021299271647043,2.374653361458861,2.431711635704906
2019-06-25,1.9479248898967143,2.2222052670065193,2.0141809442617675,2.2222052670065193,2.380644625636478,2.420336439676782
2019-06-26,1.9436335334102033,2.213701442659457,2.009341315387939,2.213701442659457,2.367010457678263,2.4157779016064285
2019-06-27,1.912417770257726,2.177196430101147,1.9768922560927054,2.177196430101147,2.3290361783332605,2.3766015332188895
2019-06-28,1.9270458379156687,2.1986000703805977,1.993047684610169,2.1986000703805977,2.36450131712369,2.4314825035258503
2019-07-01,1.9664854008621624,2.2404655204646935,2.0327083710315335,2.2404655204646935,2.3860451209890177,2.424103967014128
2019-07-02,1.959045720097706,2.2242029153083083,2.023599269212112,2.2242029153083083,2.3581453762174247,2.38856466006696
2019-07-03,1.9460677982650936,2.212864720983366,2.010711595579088,2.212864720983366,2.3385932754790817,2.3626164767010054
2019-07-04,1.9671468485297405,2.234295808339434,2.032416113107841,2.234295808339434,2.3674565069701696,2.381841435074886
2019-07-05,1.966265737733649,2.2296356461906583,2.0311622740367694,2.2296356461906583,2.365877384840047,2.3839109284961184
2019-07-08,1.9413923132437503,2.2076925757846118,2.0064434285876436,2.2076925757846118,2.3369102927195664,2.3486442862093324
2019-07-09,1.9510740841930554,2.220165507838546,2.016634161603156,2.220165507838546,2.3341741546775423,2.3280077536008625
2019-07-10,1.962785886945962,2.2351682583628376,2.0291165849021415,2.2351682583628376,2.346554005828167,2.3364924500354523
2019-07-11,1.9731299894292365,2.2389905268194528,2.0385749186608653,2.2389905268194528,2.3559004871509326,2.3438555156520255
2019-07-12,1.9754730711931832,2.2382220530111434,2.04029570584977,2.2382220530111434,2.3592060432420228,2.3562835083009834
2019-07-15,1.9827589503807186,2.23938011067242,2.0464740230989205,2.23938011067242,2.3420298504424677,2.3148952467969734
2019-07-16,2.0012610091943097,2.261063112888476,2.066251482023668,2.261063112888476,2.370360333868665,2.3404837980597994
2019-07-17,1.9880191784091032,2.247176592946791,2.052744038553425,2.247176592946791,2.353200081869311,2.3229661383880575
2019-07-18,1.9858949007688917,2.240217409698553,2.050014981721306,2.240217409698553,2.335121459540696,2.294742167909974
2019-07-19,2.0107892657576287,2.2807575495682544,2.077473837236142,2.2807575495682544,2.361567028993331,2.289405413956576
2019-07-22,2.0186776198600866,2.289912526919254,2.08565889522497,2.289912526919254,2.3722295964109126,2.303800721077896
2019-07-23,2.0535556889641544,2.3327646705407616,2.1225849958592495,2.3327646705407616,2.4293022299033864,2.3867660905306747
2019-07-24,2.052282790237472,2.3333403351171356,2.121820270423877,2.3333403351171356,2.433153573746872,2.4025077697209
2019-07-25,2.072965923932425,2.353733564118792,2.1428987696283865,2.353733564118792,2.4697812606219385,2.459076175556865
2019-07-26,2.073854437270835,2.3511683845891933,2.1429435095518987,2.3511683845891933,2.4703018559925196,2.4564247082224497
2019-07-29,2.07486637903095,2.3643032793504206,2.1467414585267295,2.3643032793504206,2.487319015509103,2.4572040459653564
2019-07-30,2.0446134706000922,2.326243597338147,2.1149330489799905,2.326243597338147,2.445179964337866,2.4054516910045045
2019-07-31,2.0777004611129226,2.350241969368599,2.1464627554364895,2.350241969368599,2.4743232984090193,2.4568440570115615
2019-08-01,2.0887706596034517,2.369101256175781,2.1595299309205394,2.369101256175781,2.4961814423779907,2.483870571305083
2019-08-02,2.076740789880916,2.357793900121673,2.14672148716706,2.357793900121673,2.474692941761702,2.4562737280892484
2019-08-05,2.0483502715483457,2.3263163766762243,2.1165913656501774,2.3263163766762243,2.4234273052631012,2.3935781991097307
2019-08-06,2.033825364117378,2.329269277607644,2.1051376501980044,2.329269277607644,2.4227915133681313,2.3922576137189444
2019-08-07,2.065276409958579,2.3507283162084964,2.1348525207523643,2.3507283162084964,2.4344003801067133,2.3912500297467267
2019-08-08,2.0979018852750384,2.396285721363214,2.1701897858008827,2.396285721363214,2.505874922600263,2.494770045512826
2019-08-09,2.1044914220287,2.402144223395321,2.176094515433486,2.402144223395321,2.493766462055749,2.466514434498568
2019-08-12,2.120455206202609,2.4249577803888736,2.1925169842177574,2.4249577803888736,2.512475792053961,2.4890795297622996
2019-08-13,2.114654837990153,2.411439805024131,2.1848337756308776,2.411439805024131,2.487546178172411,2.461010122740755
2019-08-14,2.1198706704079426,2.428223232889045,2.191728623447621,2.428223232889045,2.4987634348513708,2.4664696348371598
2019-08-15,2.1400098108385057,2.4667995795347064,2.2153928580659206,2.4667995795347064,2.5352972502818525,2.482924900177721
2019-08-16,2.125273298968411,2.446217913356117,2.200100931924283,2.446217913356117,2.5240054228222206,2.483598160639891
2019-08-19,2.125738172540826,2.4498290445494257,2.200736006080661,2.4498290445494257,2.521903569793943,2.4825072514329602
2019-08-20,2.137789284571182,2.473188906779337,2.2137569670606965,2.473188906779337,2.5260722100706943,2.465457187333049
2019-08-21,2.1596919410402937,2.49115973260034,2.236011661282388,2.49115973260034,2.557155901667701,2.4951912086296097
2019-08-22,2.155931469758438,2.4989480288044836,2.2349891309341583,2.4989480288044836,2.5799510033142354,2.5277865788346676
2019-08-23,2.157573645008053,2.513139224191038,2.2374951948613924,2.513139224191038,2.589549260063399,2.5340490922796963
2019-08-26,2.1293162337445115,2.4881674560210914,2.209799154542942,2.4881674560210914,2.558396158948147,2.500836834856803
2019-08-27,2.0996070233232356,2.4448968112431855,2.177502709025315,2.4448968112431855,2.513078445755894,2.455527227648673
2019-08-28,2.0919147752325236,2.4302767164542716,2.168987563164175,2.4302767164542716,2.5009547201525897,2.442789475164786
2019-08-29,2.098737877112333,2.444318595943614,2.1768243922636086,2.444318595943614,2.507651436295452,2.4435377432210212
2019-08-30,2.117751617086714,2.465214707088795,2.1964572521513257,2.465214707088795,2.5256471464345753,2.457119710136312
2019-09-03,2.109607806303105,2.467483541349491,2.1895676111189757,2.467483541349491,2.512781543931137,2.4231004580503526
2019-09-04,2.1023580615466853,2.4537678485380625,2.1813607014529772,2.4537678485380625,2.499070396090968,2.413829401416016
2019-09-05,2.096691324117991,2.440093604736488,2.1745599700553946,2.440093604736488,2.493881499300914,2.4142947676193103
2019-09-06,2.0901709585316,2.4364039077599817,2.1681337263957774,2.4364039077599817,2.4797328098008915,2.3896754599407406
