config_slot,config_id,seed,episodes,gamma,beta_0,beta_decay,beta_min,vae_latent_dim,vae_lr,vae_beta_kl,vae_batch_size,bootstrap_trajectories,bootstrap_updates,online_aux_updates,vae_replay_capacity,train_profit,train_roi,train_arr,train_sharpe,train_max_drawdown,train_violations,test_profit,test_roi,test_arr,test_sharpe,test_max_drawdown,test_violations,gap_profit,gap_roi,gap_arr,gap_sharpe,q_loss_mean,vae_loss_mean,vae_loss_last,vae_recon_last,vae_kl_last,cost_loss_mean,cost_loss_last,novelty_mean,novelty_std,novelty_max,finite,elapsed_seconds
2,ucb_009,55,45,0.95,0.03,0.9,0.01,16,0.0001,0.05,256,5,100,1,50000,9926.46516,992.6465159999999,30.45648225467432,0.9834985585694113,55.68067822402857,20,-50.8668200000003,-5.086682000000031,-2.599362222339574,-0.16048974920507592,28.630726699734588,2,9977.33198,997.7331979999999,33.05584447701389,1.1439883077744872,31.184068580689253,0.2497470239113117,0.4131380021572113,0.4123277962207794,0.0162038654088974,0.05034049188975116,0.0036369855515658855,3.7481187247759933,1.0563812408230322,7.2404632568359375,True,409.42763323500003
2,ucb_009,56,45,0.95,0.03,0.9,0.01,16,0.0001,0.05,256,5,100,1,50000,1935.508220000002,193.5508220000002,12.719850354923379,0.8258206728858374,19.124391597133542,3,51.98773999999935,5.1987739999999345,2.5897907752014504,0.1252341393010713,5.855731502757557,0,1883.5204800000026,188.35204800000028,10.130059579721928,0.7005865335847661,1.5249553908935654,0.2038074513961529,0.18661198019981384,0.1861083060503006,0.010073434561491013,0.055949225116135745,0.011810112744569778,3.6720826656942864,1.1549681069906415,7.361356258392334,True,411.05497988999923
2,ucb_009,57,45,0.95,0.03,0.9,0.01,16,0.0001,0.05,256,5,100,1,50000,4046.5239699999984,404.65239699999984,19.719187356139088,0.8984909116631989,30.74304029179547,10,78.21279999999979,7.821279999999979,3.872133127609767,0.20873016056999738,15.38975956611536,2,3968.3111699999986,396.83111699999984,15.84705422852932,0.6897607510932016,5.60520965704108,0.2038635751296734,0.3019569516181946,0.300635427236557,0.026430226862430573,0.04739975910633802,0.00427272729575634,3.9032371688733445,1.035083665608838,7.257725715637207,True,410.80665546
2,ucb_009,58,45,0.95,0.03,0.9,0.01,16,0.0001,0.05,256,5,100,1,50000,1095.89124,109.58912399999998,8.575564335118768,0.4726913198283248,31.414216891952645,8,-60.89003000000014,-6.089003000000013,-3.119638398647784,-0.007557318526952582,46.71555012773882,11,1156.78127,115.678127,11.695202733766552,0.48024863835527737,5.068784706993747,0.19107530312291507,0.2057986706495285,0.20518486201763153,0.012276207096874714,0.04680856193319477,0.0065126265399158,4.174683438682695,0.8627414692868686,6.799437999725342,True,409.0927950309997
2,ucb_009,59,45,0.95,0.03,0.9,0.01,16,0.0001,0.05,256,5,100,1,50000,44.28273000000149,4.428273000000149,0.4829395815135529,-0.4078945785050817,8.392099731819007,0,-164.99076000000002,-16.499076000000002,-8.695093366829298,-0.48951795033711437,36.686035524379975,3,209.27349000000152,20.927349000000152,9.17803294834285,0.08162337183203267,0.4313826702327114,0.18678456524322773,0.17846828699111938,0.17801795899868011,0.009006546810269356,0.04794804873266097,0.004386535380035639,3.578001660515506,1.1613968393785787,7.4147725105285645,True,409.99478129
2,ucb_009,60,45,0.95,0.03,0.9,0.01,16,0.0001,0.05,256,5,100,1,50000,2249.61769,224.961769,14.001142682007096,0.6755106029809448,55.55731738766766,9,-62.923530000000255,-6.292353000000025,-3.225526780896215,-0.026604107500388406,44.491719523003816,10,2312.54122,231.25412200000002,17.22666946290331,0.7021147104813332,6.829187320301562,0.18366151924791008,0.18836241960525513,0.18801504373550415,0.006947489455342293,0.049442195102315525,0.00888538546860218,4.0352303881243055,0.8821784618679338,6.907116413116455,True,409.5311367680006
2,ucb_009,61,45,0.95,0.03,0.9,0.01,16,0.0001,0.05,256,5,100,1,50000,860.3812799999992,86.03812799999992,7.146081064699161,0.5629152608664422,13.2900552018942,4,-61.656500000000506,-6.16565000000005,-3.1595366594424523,-0.5593931790543678,17.671091320849296,0,922.0377799999997,92.20377799999997,10.305617724141614,1.1223084399208099,1.0063192174269784,0.1854541443545243,0.19661487638950348,0.1961664855480194,0.008967828005552292,0.04616005959888471,0.005607277154922485,3.3695808025161993,1.1572945813896358,6.939324855804443,True,409.6983707520003
2,ucb_009,62,45,0.95,0.03,0.9,0.01,16,0.0001,0.05,256,5,100,1,50000,4580.067729999998,458.0067729999998,21.064486148473293,0.9903728638985484,38.9442275516644,6,76.09012999999914,7.609012999999913,3.7689186323526247,0.20070642138793351,9.600792835160119,1,4503.977599999998,450.3977599999999,17.29556751612067,0.7896664425106149,12.424624122881594,0.17389371364281095,0.17214630544185638,0.1716359406709671,0.010207194834947586,0.04747168182170597,0.011579588055610657,3.7944285286173587,1.3229002838077355,7.881435871124268,True,409.81334151600004
2,ucb_009,63,45,0.95,0.03,0.9,0.01,16,0.0001,0.05,256,5,100,1,50000,7975.90005,797.590005,27.635090017097074,0.979479643036313,55.58614087345634,16,-147.84186999999997,-14.784186999999996,-7.753859550635878,-0.07853500754749561,65.30741576346895,16,8123.74192,812.374192,35.38894956773295,1.0580146505838086,22.13401771923642,0.21763179148065634,0.3020581603050232,0.301231324672699,0.016536546871066093,0.06507775636775226,0.006914031691849232,4.270794648983132,0.9699401776824278,7.624671936035156,True,409.71095826799956
2,ucb_009,64,45,0.95,0.03,0.9,0.01,16,0.0001,0.05,256,5,100,1,50000,8337.15062,833.7150620000001,28.196282883029223,0.9802463380466726,48.72919651862134,15,-174.03867000000002,-17.403867,-9.195558050813624,-0.09378522788771239,68.14444077037591,20,8511.18929,851.1189290000001,37.39184093384284,1.074031565934385,25.695670783740503,0.23044834763839328,0.35760608315467834,0.3570120632648468,0.01188028883188963,0.0644433617543686,0.0036097655538469553,4.10879878111676,0.932230147876754,7.215153694152832,True,408.15096089300005
