date,open,high,low,close,volume,tic,day,macd,rsi,cci,dx,atr
2025-04-04,49.82,54.24,49.63,53.97,9790843,vnm,4,-0.771468437469693,36.51668366469265,-236.44918010101645,80.84762945631267,1.2396439732978257
2025-04-08,52.31,52.49,50.28,50.28,13341671,vnm,1,-1.1293019623919278,25.53502218618995,-210.38144169391177,80.84762945631269,1.4146694037765521
2025-04-09,47.42,50.92,47.42,47.97,9895364,vnm,2,-1.5810598299248326,21.23064592831578,-199.56341410172425,87.3925480212158,1.5636215892210843
2025-04-10,51.29,51.29,51.29,51.29,1515755,vnm,3,-1.652140098448612,37.529579929605774,-94.79198797510826,78.2973890788794,1.6890771899910069
2025-04-11,51.29,53.88,51.29,53.05,9178387,vnm,4,-1.5486030997313591,44.12956886130894,-44.52817379497624,28.085721723803797,1.753428819277364
2025-04-14,53.42,53.42,52.12,52.49,5487359,vnm,0,-1.4945088346425663,42.58781795473386,-39.03101179910184,28.085721723803804,1.7210410464718382
2025-04-15,52.31,53.05,51.94,51.94,4173838,vnm,1,-1.478970492084187,41.07017224642557,-42.75983300373549,29.912020197442484,1.6773952574381352
2025-04-16,52.03,52.77,51.66,51.66,3741175,vnm,2,-1.4722783947283702,40.28314742389177,-45.07799029632327,32.9674735050588,1.6368670247639832
2025-04-17,51.2,52.22,50.56,51.66,7226501,vnm,3,-1.4502571971450067,40.283147423891755,-58.69980754803193,44.0282061667576,1.6385193801379843
2025-04-18,52.31,52.86,52.22,52.22,3042348,vnm,4,-1.3718046098971186,42.824535398328806,-15.085416762943227,29.664854918532647,1.6071965672709856
2025-04-21,52.4,52.68,52.12,52.31,3024998,vnm,0,-1.2875263194904107,43.24259266363163,-6.919875130072704,30.907106456264543,1.5323968124659153
2025-04-22,52.22,52.22,49.72,51.66,6966814,vnm,1,-1.2586755071262843,40.915724136729054,-62.25882352941223,53.600856520154174,1.607939897289779
2025-04-23,52.4,52.86,52.03,52.03,3589382,vnm,2,-1.1922120443666344,42.80245755029915,35.854840304559055,39.50241074393294,1.578801333197652
2025-04-24,52.12,52.4,51.85,51.94,1959766,vnm,3,-1.1337325559439364,42.44738667571996,22.647182632749285,41.252293514705784,1.5053155236835336
2025-04-25,52.12,53.78,52.12,53.78,8125834,vnm,4,-0.9282146370264996,51.33565616038309,116.76771176164866,12.473341655443921,1.5292215577061385
2025-04-28,53.78,53.78,53.05,53.05,2670118,vnm,0,-0.8148519981364544,48.157976488459425,112.38052568697665,12.473341655443914,1.4721343035842718
2025-04-29,53.05,53.42,52.77,53.14,2560129,vnm,1,-0.7095695659788959,48.58056977259661,102.37099023709898,17.039247043313356,1.4134104247568238
2025-05-05,53.05,53.14,52.49,52.49,4242785,vnm,0,-0.6708489189497087,45.68414860699329,40.94052558782849,21.74926837031343,1.3588811087027648
2025-05-06,52.58,52.95,52.49,52.49,2505912,vnm,1,-0.6328672277564635,45.68414860699329,33.24556784272462,21.749268370313438,1.294675315223996
2025-05-07,52.49,53.23,52.49,52.77,2910910,vnm,2,-0.5735611480152514,47.25520845738833,57.754927163667766,13.193344819723604,1.2550556498508532
2025-05-08,52.77,53.32,52.77,52.95,3266128,vnm,3,-0.5062009869870607,48.290670543915496,71.85398655139383,10.318068616378545,1.2046945320043634
2025-05-09,53.23,54.06,53.23,53.23,3839463,vnm,4,-0.42532107749788395,49.93709158468436,117.77661931447773,11.104660113632795,1.1979306368611946
